Name;Required;Set;AmigaOsVersion;KickstartVersionRequired;Model;Md5Hash;VolumeName;Filename;CopyFile;InstallAmigaOsPrefs;Comment
Amiga OS 3.1.4 Modules A600 Disk;False;Amiga OS 3.1.4;3.1.4;3.1;A600;bc48d0bdafd123a6ed459c38c7a1c2e4;ModulesA600_3.1.4;amiga-os-314-modules-a600.adf;True;Amiga-OS-314-ADF;Hyperion Entertainment
Amiga OS 3.1.4 Modules A1200 Disk;False;Amiga OS 3.1.4;3.1.4;3.1;A1200;2797193dc7b7daa233abe1bcfee9d5a1;ModulesA1200_3.1.4;amiga-os-314-modules-a1200.adf;True;Amiga-OS-314-ADF;Hyperion Entertainment
Amiga OS 3.1.4 Modules A1200 Disk;False;Amiga OS 3.1.4;3.1.4;3.1;A1200;d170f8c11d1eb52f12643e0f13b44886;ModulesA1200_3.1.4;amiga-os-314-modules-a1200.adf;True;Amiga-OS-314-ADF;Hyperion Entertainment
Amiga OS 3.1.4 Modules A2000 Disk;False;Amiga OS 3.1.4;3.1.4;3.1;A2000;b201f0b45c5748be103792e03f938027;ModulesA2000_3.1.4;amiga-os-314-modules-a2000.adf;True;Amiga-OS-314-ADF;Hyperion Entertainment
Amiga OS 3.1.4 Modules A2000 Disk;False;Amiga OS 3.1.4;3.1.4;3.1;A2000;b8d09ea3369ac538c3920c515ba76e86;ModulesA2000_3.1.4;amiga-os-314-modules-a2000.adf;True;Amiga-OS-314-ADF;Hyperion Entertainment
Amiga OS 3.1.4 Modules A3000 Disk;False;Amiga OS 3.1.4;3.1.4;3.1;A3000;60263124ea2c5f1831a3af639d085a28;ModulesA3000_3.1.4;amiga-os-314-modules-a3000.adf;True;Amiga-OS-314-ADF;Hyperion Entertainment
Amiga OS 3.1.4 Modules A3000 Disk;False;Amiga OS 3.1.4;3.1.4;3.1;A3000;d068cbc850390c3e0028879cc1cae4c2;ModulesA3000_3.1.4;amiga-os-314-modules-a3000.adf;True;Amiga-OS-314-ADF;Hyperion Entertainment
Amiga OS 3.1.4 Modules A4000D Disk;False;Amiga OS 3.1.4;3.1.4;3.1;A4000D;7d20dc438e802e41def3694d2be59f0f;ModulesA4000D_3.1.4;amiga-os-314-modules-a4000d.adf;True;Amiga-OS-314-ADF;Hyperion Entertainment
Amiga OS 3.1.4 Modules A4000T Disk;False;Amiga OS 3.1.4;3.1.4;3.1;A4000T;68fb2ca4b81daeaf140d35dc7a63d143;ModulesA4000T_3.1.4;amiga-os-314-modules-a4000t.adf;True;Amiga-OS-314-ADF;Hyperion Entertainment
Amiga OS 3.1.4 Modules A4000T Disk;False;Amiga OS 3.1.4;3.1.4;3.1;A4000T;a0ed3065558bd43e80647c1c522322a0;ModulesA4000T_3.1.4;amiga-os-314-modules-a4000t.adf;True;Amiga-OS-314-ADF;Hyperion Entertainment
